League,Team,GP,Pts,PPG_Last_8,PPG_All
Scotland - Championship,Partick Thistle,36,55,1.75,1.53
Scotland - Championship,Raith Rovers,36,53,2.0,1.47
Scotland - Championship,Greenock Morton,36,48,1.38,1.33
Scotland - Championship,Dunfermline,36,35,1.0,0.97
Scotland - Championship,Queens Park,36,35,0.25,0.97
Scotland - Championship,Airdrieonians,36,29,1.13,0.81
Scotland - Championship,Hamilton,36,21,1.0,1.0
Serbia - Super Liga,Red Star,34,95,2.63,2.79
Serbia - Super Liga,Partizan,34,67,1.75,1.97
Serbia - Super Liga,Vojvodina,34,51,1.88,1.5
Serbia - Super Liga,OFK Beograd,34,50,1.25,1.47
Serbia - Super Liga,Radnicki 1923,34,49,0.63,1.44
Serbia - Super Liga,Mladost Lucani,34,47,0.88,1.38
Serbia - Super Liga,Novi Pazar,34,47,1.5,1.38
Serbia - Super Liga,Backa Topola,34,44,1.63,1.29
Serbia - Super Liga,Cukaricki,34,44,1.0,1.29
Serbia - Super Liga,Z. Pancevo,34,44,1.5,1.29
Serbia - Super Liga,IMT N. Beograd,34,41,1.75,1.21
Serbia - Super Liga,S. Subotica,34,41,1.0,1.21
Serbia - Super Liga,Radnicki Nis,34,40,1.25,1.18
Serbia - Super Liga,Napredak,34,38,1.25,1.12
Serbia - Super Liga,T. Odzaci,34,34,1.13,1.0
Serbia - Super Liga,Jedinstvo U.,34,22,1.0,0.65
Singapore - Premier League,Lion City,29,68,2.13,2.34
Singapore - Premier League,Tampines Rovers,29,60,2.25,2.07
Singapore - Premier League,Geylang,29,50,1.25,1.72
Singapore - Premier League,Khalsa,29,42,2.0,1.45
Singapore - Premier League,A. Niigata (S),29,36,1.0,1.24
Singapore - Premier League,DPMM FC,29,35,1.75,1.21
Singapore - Premier League,Hougang,29,30,1.0,1.03
Singapore - Premier League,Young Lions,29,26,0.5,0.9
Singapore - Premier League,Tanjong Pagar,28,14,0.63,0.5
Slovenia - Prva Liga,NK Olimpija,33,69,1.88,2.09
Slovenia - Prva Liga,Maribor,33,63,1.88,1.91
Slovenia - Prva Liga,Koper,33,59,2.25,1.79
Slovenia - Prva Liga,NK Celje,33,57,2.25,1.73
Slovenia - Prva Liga,Bravo,33,50,0.75,1.52
Slovenia - Prva Liga,Primorje,33,37,0.88,1.12
Slovenia - Prva Liga,Radomlje,33,35,1.25,1.06
Slovenia - Prva Liga,Mura,33,34,0.5,1.03
Slovenia - Prva Liga,Nafta,33,25,0.75,0.76
Slovenia - Prva Liga,Domzale,33,24,1.0,0.73
Slovakia - Fortuna Liga,S. Bratislava,30,66,2.13,2.2
Slovakia - Fortuna Liga,Zilina,30,54,1.13,1.8
Slovakia - Fortuna Liga,Spartak Trnava,30,49,0.63,1.63
Slovakia - Fortuna Liga,DAC Streda,30,45,1.63,1.5
Slovakia - Fortuna Liga,FC Kosice,30,41,1.5,1.37
Slovakia - Fortuna Liga,Podbrezova,30,37,0.88,1.23
Slovakia - Fortuna Liga,Z. Michalovce,30,37,1.25,1.23
Slovakia - Fortuna Liga,Komarno,30,36,1.75,1.2
Slovakia - Fortuna Liga,Skalica,30,35,2.0,1.17
Slovakia - Fortuna Liga,Trencin,30,32,1.5,1.07
Slovakia - Fortuna Liga,Ruzomberok,30,30,1.25,1.0
Slovakia - Fortuna Liga,Banska Bystrica,30,22,0.63,0.73
South Africa - Premier Division ,Mamelodi S.,26,67,2.38,2.58
South Africa - Premier Division ,Orlando Pirates,23,52,2.0,2.26
South Africa - Premier Division ,Sekhukhune,27,45,1.75,1.67
South Africa - Premier Division ,Stellenbosch,25,44,2.13,1.76
South Africa - Premier Division ,TS Galaxy,28,37,1.13,1.32
South Africa - Premier Division ,AmaZulu,28,37,1.0,1.32
South Africa - Premier Division ,Polokwane,27,36,0.75,1.33
South Africa - Premier Division ,Kaizer Chiefs,27,31,0.75,1.15
South Africa - Premier Division ,Chippa Utd,26,30,1.0,1.15
South Africa - Premier Division ,Richards Bay,27,30,1.5,1.11
South Africa - Premier Division ,Magesi,26,30,2.0,1.15
South Africa - Premier Division ,Marumo G.,26,30,1.75,1.15
South Africa - Premier Division ,Golden Arrows,25,29,1.0,1.16
South Africa - Premier Division ,SuperSport Utd,25,27,1.25,1.08
South Africa - Premier Division ,Cape Town City,27,24,0.38,0.89
South Africa - Premier Division ,Royal AM,11,8,0.63,0.73
South Korea - K League 1,Daejeon Citizen,13,27,1.88,2.08
South Korea - K League 1,Jeonbuk Motors,12,22,2.25,1.83
South Korea - K League 1,Ulsan,14,21,1.38,1.5
South Korea - K League 1,Gimcheon Sangmu,12,20,1.63,1.67
South Korea - K League 1,Gwangju,12,19,1.63,1.58
South Korea - K League 1,Pohang Steelers,13,19,1.75,1.46
South Korea - K League 1,Gangwon,12,17,1.25,1.42
South Korea - K League 1,Anyang,13,16,1.25,1.23
South Korea - K League 1,Seoul,12,14,1.13,1.17
South Korea - K League 1,Jeju Utd,12,11,0.88,0.92
South Korea - K League 1,Suwon City,13,11,1.0,0.85
South Korea - K League 1,Daegu,12,10,0.38,0.83
South Korea - K League 2,Incheon Utd,10,25,2.38,2.5
South Korea - K League 2,Seoul E-Land,10,20,2.0,2.0
South Korea - K League 2,Jeonnam,10,19,1.88,1.9
South Korea - K League 2,Busan IPark,10,18,2.13,1.8
South Korea - K League 2,Suwon Bluewings,10,18,1.88,1.8
South Korea - K League 2,Bucheon FC,11,18,1.5,1.64
South Korea - K League 2,Seongnam,10,16,1.5,1.6
South Korea - K League 2,Gimpo,11,12,1.0,1.09
South Korea - K League 2,Asan,10,11,1.25,1.1
South Korea - K League 2,Cheongju,10,11,1.25,1.1
South Korea - K League 2,Gyeongnam,11,11,0.88,1.0
South Korea - K League 2,Hwaseong,11,9,0.88,0.82
South Korea - K League 2,Ansan Greeners,10,7,0.88,0.7
South Korea - K League 2,Cheonan City,10,3,0.38,0.3
Spain - La Liga,FC Barcelona,34,79,2.75,2.32
Spain - La Liga,Real Madrid,34,75,2.63,2.21
Spain - La Liga,Atletico Madrid,34,67,1.38,1.97
Spain - La Liga,Athletic Bilbao,34,61,1.63,1.79
Spain - La Liga,Villarreal,34,58,1.75,1.71
Spain - La Liga,Real Betis,34,57,2.38,1.68
Spain - La Liga,Rayo Vallecano,35,47,1.38,1.34
Spain - La Liga,Celta Vigo,34,46,1.63,1.35
Spain - La Liga,Osasuna,34,44,1.38,1.29
Spain - La Liga,Mallorca,34,44,1.0,1.29
Spain - La Liga,Real Sociedad,34,43,1.13,1.26
Spain - La Liga,Valencia,34,42,2.25,1.24
Spain - La Liga,Getafe,34,39,1.13,1.15
Spain - La Liga,Espanyol,34,39,1.38,1.15
Spain - La Liga,Girona,34,38,0.75,1.12
Spain - La Liga,Sevilla FC,34,38,0.63,1.12
Spain - La Liga,Alaves,34,35,1.5,1.03
Spain - La Liga,Las Palmas,35,32,1.0,0.91
Spain - La Liga,Leganes,34,31,0.5,0.91
Spain - La Liga,Valladolid,34,16,0.0,0.47
Spain - La Liga 2,Elche,38,71,2.25,1.87
Spain - La Liga 2,Levante,38,67,1.75,1.76
Spain - La Liga 2,Racing,38,66,1.63,1.74
Spain - La Liga 2,Real Oviedo,38,65,1.88,1.71
Spain - La Liga 2,Mirandes,38,65,1.38,1.71
Spain - La Liga 2,Almeria,39,62,1.5,1.59
Spain - La Liga 2,Granada,38,59,1.63,1.55
Spain - La Liga 2,Huesca,38,58,0.88,1.53
Spain - La Liga 2,Cordoba,38,54,1.38,1.42
Spain - La Liga 2,Deportivo,38,53,1.63,1.39
Spain - La Liga 2,Cadiz,39,52,1.0,1.33
Spain - La Liga 2,Albacete,38,51,1.75,1.34
Spain - La Liga 2,Burgos,38,51,1.5,1.34
Spain - La Liga 2,Castellon,38,49,1.25,1.29
Spain - La Liga 2,Malaga,38,49,1.25,1.29
Spain - La Liga 2,Eibar,38,49,1.13,1.29
Spain - La Liga 2,Sporting Gijon,38,47,0.88,1.24
Spain - La Liga 2,Real Zaragoza,38,45,1.13,1.18
Spain - La Liga 2,Eldense,38,40,0.75,1.05
Spain - La Liga 2,Tenerife,38,35,1.63,0.92
Spain - La Liga 2,Racing Ferrol,38,26,0.5,0.68
Spain - La Liga 2,Cartagena,38,20,0.63,0.53
Sweden - Allsvenskan,Mjallby,7,17,2.43,2.43
Sweden - Allsvenskan,AIK,7,17,2.43,2.43
Sweden - Allsvenskan,Hammarby,7,16,2.29,2.29
Sweden - Allsvenskan,Elfsborg,7,13,1.86,1.86
Sweden - Allsvenskan,Malmo FF,7,11,1.57,1.57
Sweden - Allsvenskan,Degerfors,7,10,1.43,1.43
Sweden - Allsvenskan,Brommapojkarna,6,10,1.67,1.67
Sweden - Allsvenskan,Hacken,7,10,1.43,1.43
Sweden - Allsvenskan,IFK Goteborg,7,10,1.43,1.43
Sweden - Allsvenskan,Norrkoping,7,9,1.29,1.29
Sweden - Allsvenskan,Djurgarden,6,8,1.33,1.33
Sweden - Allsvenskan,GAIS,7,7,1.0,1.0
Sweden - Allsvenskan,Halmstad,7,7,1.0,1.0
Sweden - Allsvenskan,Sirius,7,6,0.86,0.86
Sweden - Allsvenskan,Oster,7,3,0.43,0.43
Sweden - Allsvenskan,Varnamo,7,0,0.0,0.0
Sweden - Superettan,Varberg BoIS,6,14,2.33,2.33
Sweden - Superettan,Kalmar,6,14,2.33,2.33
Sweden - Superettan,Landskrona,6,14,2.33,2.33
Sweden - Superettan,Orgryte,6,11,1.83,1.83
Sweden - Superettan,Ostersunds,6,11,1.83,1.83
Sweden - Superettan,Oddevold,6,10,1.67,1.67
Sweden - Superettan,Vasteras,6,9,1.5,1.5
Sweden - Superettan,GIF Sundsvall,6,8,1.33,1.33
Sweden - Superettan,Falkenberg,6,8,1.33,1.33
Sweden - Superettan,Brage,6,8,1.33,1.33
Sweden - Superettan,Sandviken,6,7,1.17,1.17
Sweden - Superettan,Helsingborg,6,6,1.0,1.0
Sweden - Superettan,Utsikten,6,5,0.83,0.83
Sweden - Superettan,Trelleborg,6,4,0.67,0.67
Sweden - Superettan,Orebro,6,1,0.17,0.17
Sweden - Superettan,Umea,6,1,0.17,0.17
Switzerland - Super League,FC Basel,34,64,2.38,1.88
Switzerland - Super League,Servette,34,55,1.25,1.62
Switzerland - Super League,BSC Young Boys,34,53,2.0,1.56
Switzerland - Super League,Lugano,34,52,1.25,1.53
Switzerland - Super League,Luzern,34,51,1.0,1.5
Switzerland - Super League,Lausanne Sport,34,50,1.63,1.47
Switzerland - Super League,St. Gallen,34,48,1.5,1.41
Switzerland - Super League,FC Zurich,34,47,1.0,1.38
Switzerland - Super League,Sion,34,39,1.13,1.15
Switzerland - Super League,Yverdon,34,34,1.13,1.0
Switzerland - Super League,Grasshopper,34,33,0.88,0.97
Switzerland - Super League,Winterthur,34,33,1.63,0.97
Switzerland - Challenge League,Thun,33,68,2.38,2.06
Switzerland - Challenge League,Aarau,34,57,0.75,1.68
Switzerland - Challenge League,Etoile Carouge,34,54,1.38,1.59
Switzerland - Challenge League,Wil,34,50,1.75,1.47
Switzerland - Challenge League,Lausanne Ouchy,34,47,1.88,1.38
Switzerland - Challenge League,Vaduz,33,47,1.63,1.42
Switzerland - Challenge League,Neuchatel Xamax,34,38,0.63,1.12
Switzerland - Challenge League,Bellinzona,34,38,1.5,1.12
Switzerland - Challenge League,Stade Nyonnais,34,35,1.5,1.03
Switzerland - Challenge League,Schaffhausen,34,25,0.5,0.82
Thailand - Thai League 1,Buriram Utd,30,70,2.0,2.33
Thailand - Thai League 1,Bangkok Utd,30,69,2.75,2.3
Thailand - Thai League 1,Pathum Utd,30,53,2.13,1.77
Thailand - Thai League 1,Ratchaburi,30,52,2.25,1.73
Thailand - Thai League 1,Port FC,30,48,1.5,1.6
Thailand - Thai League 1,Muang Thong Utd,30,45,1.25,1.5
Thailand - Thai League 1,Prachuap,30,44,1.63,1.47
Thailand - Thai League 1,Uthai Thani,30,37,1.0,1.23
Thailand - Thai League 1,Lamphun Warrior,30,37,1.13,1.23
Thailand - Thai League 1,Sukhothai,30,36,0.88,1.2
Thailand - Thai League 1,Chiangrai Utd,30,36,1.25,1.2
Thailand - Thai League 1,Rayong,30,32,1.25,1.07
Thailand - Thai League 1,N. Ratchasima,30,32,0.63,1.07
Thailand - Thai League 1,N. Bua Pitchaya,30,27,0.63,0.9
Thailand - Thai League 1,Nakhon Pathom,30,23,0.63,0.77
Thailand - Thai League 1,Khon Kaen Utd,30,18,0.88,0.6
Turkey - Super Lig,Galatasaray,32,83,2.38,2.59
Turkey - Super Lig,Fenerbahce,33,78,2.13,2.36
Turkey - Super Lig,Samsunspor,33,57,1.25,1.73
Turkey - Super Lig,Besiktas,32,55,1.38,1.72
Turkey - Super Lig,Basaksehir,33,51,1.88,1.55
Turkey - Super Lig,Eyupspor,33,50,1.25,1.52
Turkey - Super Lig,Goztepe,32,46,1.25,1.44
Turkey - Super Lig,Trabzonspor,32,46,1.75,1.44
Turkey - Super Lig,Antalyaspor,32,43,1.63,1.34
Turkey - Super Lig,Konyaspor,33,43,1.88,1.3
Turkey - Super Lig,Kasimpasa,32,43,1.5,1.34
Turkey - Super Lig,Gaziantep,33,42,0.88,1.27
Turkey - Super Lig,Kayserispor,32,41,2.13,1.28
Turkey - Super Lig,Rizespor,32,40,1.25,1.25
Turkey - Super Lig,Alanyaspor,33,38,0.88,1.15
Turkey - Super Lig,Sivasspor,33,34,1.25,1.03
Turkey - Super Lig,Bodrumspor,32,34,1.38,1.06
Turkey - Super Lig,Hatayspor,32,19,0.75,0.59
Turkey - Super Lig,Adana Demirspor,32,-2,0.13,0.31
Turkey - 1,Kocaelispor,37,69,1.38,1.86
Turkey - 1,Genclerbirligi,37,65,2.13,1.76
Turkey - 1,F. Karagumruk,37,63,1.38,1.7
Turkey - 1,Istanbulspor,37,61,2.25,1.65
Turkey - 1,Bandirmaspor,37,61,1.75,1.65
Turkey - 1,Erzurum BB,37,61,1.63,1.65
Turkey - 1,Igdir,37,58,2.25,1.57
Turkey - 1,Boluspor,37,58,1.75,1.57
Turkey - 1,Amed SK,37,57,1.75,1.54
Turkey - 1,Corum,37,54,1.5,1.46
Turkey - 1,Umraniyespor,37,53,1.5,1.43
Turkey - 1,Erokspor,37,52,1.75,1.41
Turkey - 1,Keciorengucu,37,51,1.13,1.38
Turkey - 1,Pendikspor,37,48,1.0,1.3
Turkey - 1,Sakaryaspor,37,48,1.5,1.3
Turkey - 1,Manisa BB,37,45,1.38,1.22
Turkey - 1,Ankaragucu,37,45,0.88,1.22
Turkey - 1,Sanliurfaspor,37,40,0.75,1.08
Turkey - 1,Adanaspor,37,30,0.38,0.81
Turkey - 1,Y. Malatyaspor,37,-21,0.0,0.0
UAE - Pro League,Shabab Al Ahli,23,56,1.88,2.43
UAE - Pro League,Al Sharjah,23,45,1.0,1.96
UAE - Pro League,Al Wahda,23,41,2.0,1.78
UAE - Pro League,Al Wasl,23,40,2.38,1.74
UAE - Pro League,Al Ain,23,37,1.38,1.61
UAE - Pro League,Al Nasr,23,34,1.0,1.48
UAE - Pro League,Al Jazira,23,33,1.13,1.43
UAE - Pro League,Khorfakkan,23,32,2.13,1.39
UAE - Pro League,Ittihad Kalba,23,28,0.88,1.22
UAE - Pro League,Ajman,23,27,1.0,1.17
UAE - Pro League,Bani Yas,23,25,1.13,1.09
UAE - Pro League,Al Bataeh,23,24,1.63,1.04
UAE - Pro League,Dibba Al Hisn,23,16,0.88,0.7
UAE - Pro League,Al Urooba,23,10,0.88,0.43
Ukraine - Premier League,Dynamo Kyiv,28,68,2.25,2.43
Ukraine - Premier League,Oleksandria,27,63,2.75,2.33
Ukraine - Premier League,Shakhtar,28,58,2.13,2.07
Ukraine - Premier League,Polessya,28,44,1.25,1.57
Ukraine - Premier League,Karpaty Lviv,27,43,2.0,1.59
Ukraine - Premier League,Kryvbas KR,27,43,1.38,1.59
Ukraine - Premier League,Zorya Luhansk,28,37,1.0,1.32
Ukraine - Premier League,Veres,27,35,1.25,1.3
Ukraine - Premier League,Rukh Lviv,27,34,1.38,1.26
Ukraine - Premier League,Kolos Kovalivka,27,29,1.38,1.07
Ukraine - Premier League,LNZ Cherkasy,27,28,0.75,1.04
Ukraine - Premier League,Obolon,27,28,1.25,1.04
Ukraine - Premier League,Vorskla Poltava,27,25,1.0,0.93
Ukraine - Premier League,Livyi Bereh,27,23,0.5,0.85
Ukraine - Premier League,Inhulets,27,20,1.0,0.74
Ukraine - Premier League,Chornomorets,27,18,0.38,0.67
Ukraine - Premier League,Dnipro-1,0,0,0.0,0.0
USA - MLS,Vancouver,11,26,2.13,2.36
USA - MLS,Columbus Crew,11,24,2.13,2.18
USA - MLS,Philadelphia,11,22,1.63,2.0
USA - MLS,Cincinnati,11,22,2.0,2.0
USA - MLS,Inter Miami,10,21,2.13,2.1
USA - MLS,Charlotte,11,19,1.88,1.73
USA - MLS,Minnesota Utd,11,19,1.63,1.73
USA - MLS,Portland,11,18,1.88,1.64
USA - MLS,San Diego,11,17,1.25,1.55
USA - MLS,Nashville SC,11,17,1.63,1.55
USA - MLS,Orlando City,11,17,1.75,1.55
USA - MLS,Los Angeles FC,11,17,1.38,1.55
USA - MLS,New York City,11,17,1.63,1.55
USA - MLS,Seattle,11,16,1.5,1.45
USA - MLS,New England,10,16,1.88,1.6
USA - MLS,Colorado Rapids,11,16,1.38,1.45
USA - MLS,Austin,11,16,1.63,1.45
USA - MLS,New York RB,11,15,1.38,1.36
USA - MLS,Dallas,11,15,1.38,1.36
USA - MLS,SJ Earthquakes,11,13,0.88,1.18
USA - MLS,Chicago Fire,11,13,1.13,1.18
USA - MLS,Real Salt Lake,11,12,1.13,1.09
USA - MLS,DC United,11,12,0.88,1.09
USA - MLS,Sporting KC,11,10,1.25,0.91
USA - MLS,St. Louis City,11,10,0.63,0.91
USA - MLS,Houston Dynamo,11,10,1.13,0.91
USA - MLS,Atlanta Utd,11,10,0.75,0.91
USA - MLS,Toronto,11,7,0.75,0.64
USA - MLS,CF Montreal,11,3,0.38,0.27
USA - MLS,LA Galaxy,11,3,0.38,0.27
USL Championship,Loudoun Utd,8,18,2.25,2.25
USL Championship,Louisville City,7,17,2.43,2.43
USL Championship,San Antonio,8,16,2.0,2.0
USL Championship,Charleston,7,15,2.14,2.14
USL Championship,Monterey Bay,9,15,1.88,1.67
USL Championship,Detroit City,8,15,1.88,1.88
USL Championship,New Mexico,7,15,2.14,2.14
USL Championship,North Carolina,9,14,1.63,1.56
USL Championship,FC Tulsa,7,12,1.71,1.71
USL Championship,El Paso,8,12,1.5,1.5
USL Championship,Las Vegas L.,7,11,1.57,1.57
USL Championship,Orange County,8,10,1.25,1.25
USL Championship,Sacramento R.,7,9,1.29,1.29
USL Championship,Colorado S.,8,7,0.88,0.88
USL Championship,Lexington,8,7,0.88,0.88
USL Championship,Phoenix Rising,8,7,0.88,0.88
USL Championship,Pittsburgh,7,7,1.0,1.0
USL Championship,Miami FC,7,7,1.0,1.0
USL Championship,Oakland Roots,8,7,0.88,0.88
USL Championship,Indy Eleven,6,6,1.0,1.0
USL Championship,Birmingham L.,7,6,0.86,0.86
USL Championship,Rhode Island,6,5,0.83,0.83
USL Championship,Tampa Bay,7,4,0.57,0.57
USL Championship,Hartford A.,6,3,0.5,0.5
USA - USL League One,Spokane V.,7,14,2.0,2.0
USA - USL League One,Naples,7,14,2.0,2.0
USA - USL League One,One Knoxville,6,12,2.0,2.0
USA - USL League One,Richmond K.,8,11,1.38,1.38
USA - USL League One,Charlotte I.,6,11,1.83,1.83
USA - USL League One,Greenville,7,8,1.14,1.14
USA - USL League One,Forward Madison,6,7,1.17,1.17
USA - USL League One,Tormenta,6,7,1.17,1.17
USA - USL League One,Chattanooga RW,5,6,1.2,1.2
USA - USL League One,Alta,5,6,1.2,1.2
USA - USL League One,Westchester SC,5,5,1.0,1.0
USA - USL League One,Union Omaha,4,4,1.0,1.0
USA - USL League One,Portland Hearts,4,3,0.75,0.75
USA - USL League One,Texoma,6,1,0.17,0.17
Vietnam - V League,Nam Dinh,21,42,2.25,2.0
Vietnam - V League,Ha Noi,21,37,2.13,1.76
Vietnam - V League,Viettel,21,36,1.38,1.71
Vietnam - V League,Hong Linh Ha T.,22,35,2.0,1.59
Vietnam - V League,Cong An Nhan,21,33,2.0,1.57
Vietnam - V League,Thanh Hoa,21,30,0.88,1.43
Vietnam - V League,Hai Phong,22,28,1.75,1.27
Vietnam - V League,Binh Duong,21,25,0.88,1.19
Vietnam - V League,Ho Chi Minh,22,25,1.13,1.14
Vietnam - V League,Gia Lai,21,24,0.88,1.14
Vietnam - V League,Quang Nam,21,21,0.75,1.0
Vietnam - V League,Song Lam Nghe,21,20,1.0,0.95
Vietnam - V League,Binh Dinh,20,19,0.88,0.95
Vietnam - V League,Da Nang,21,14,0.75,0.67
Vietnam - V League 2,Phu Dong,15,43,2.75,2.87
Vietnam - V League 2,Binh Phuoc,16,37,2.13,2.31
Vietnam - V League 2,PVF-CAND,15,33,2.38,2.2
Vietnam - V League 2,Ba Ria Vung Tau,15,17,1.0,1.13
Vietnam - V League 2,S. Khanh Hoa,15,16,0.88,1.07
Vietnam - V League 2,Dong Thap,16,16,1.0,1.0
Vietnam - V League 2,Long An,16,14,0.75,0.88
Vietnam - V League 2,Dong Nai,16,14,1.25,0.88
Vietnam - V League 2,Ho Chi Minh B,15,14,1.25,0.93
Vietnam - V League 2,Hoa Binh,15,13,1.0,0.87
Vietnam - V League 2,Hue,16,11,0.75,0.69
