League_Name,Team_Overall,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Australia - A-League,Auckland,26.0,2.92,96%,77%,46%,35%,15%,12%,46%,46%,12%,42%,8%
Australia - A-League,Wellington,26.0,2.69,92%,77%,50%,23%,19%,4%,58%,19%,31%,12%,23%
Australia - A-League,Melbourne City,26.0,2.54,96%,62%,38%,35%,19%,4%,38%,42%,23%,38%,19%
Australia - A-League,,,,,,,,,,,,,,
Australia - A-League,League average,,,95.3%,81.1%,61.5%,44.4%,24.9%,11.8%,62.1%,21.3%,21.3%,16.6%,16.6%
Austria - Bundesliga,Sturm Graz,22.0,3.59,100%,95%,77%,36%,23%,18%,64%,23%,14%,23%,14%
Austria - Bundesliga,Wolfsberger AC,22.0,3.36,95%,82%,68%,41%,27%,18%,59%,27%,18%,23%,14%
Austria - Bundesliga,Grazer AK,22.0,3.27,86%,82%,68%,32%,27%,23%,73%,14%,27%,0%,14%
Austria - Bundesliga,A. Klagenfurt,22.0,3.0,95%,82%,59%,36%,14%,9%,50%,14%,41%,9%,36%
Austria - Bundesliga,LASK Linz,22.0,2.95,91%,82%,73%,23%,14%,14%,77%,14%,18%,5%,9%
Austria - Bundesliga,BW Linz,22.0,2.68,95%,73%,64%,23%,9%,5%,64%,32%,9%,27%,5%
Austria - Bundesliga,Rapid Wien,22.0,2.55,95%,82%,50%,18%,9%,0%,59%,32%,14%,27%,9%
Austria - Bundesliga,Altach,22.0,2.5,95%,82%,50%,18%,5%,0%,59%,9%,36%,5%,32%
Austria - Bundesliga,Austria Wien,22.0,2.5,100%,77%,55%,18%,0%,0%,55%,32%,14%,32%,14%
Austria - Bundesliga,Hartberg,22.0,2.5,91%,82%,50%,18%,9%,0%,59%,23%,27%,14%,18%
Austria - Bundesliga,Salzburg,22.0,2.5,82%,68%,45%,32%,18%,5%,45%,45%,27%,27%,9%
Austria - Bundesliga,Tirol,22.0,2.32,82%,68%,50%,14%,9%,9%,45%,27%,45%,9%,27%
Austria - Bundesliga,,,,,,,,,,,,,,
Austria - Bundesliga,League average,,,92.4%,79.5%,59.1%,25.8%,13.6%,8.3%,59.1%,24.2%,24.2%,16.7%,16.7%
Austria - 2. Liga,Lafnitz,30.0,4.03,97%,90%,83%,63%,33%,13%,73%,3%,27%,0%,23%
Austria - 2. Liga,Bregenz,30.0,3.6,97%,93%,77%,50%,30%,7%,77%,13%,13%,10%,10%
Austria - 2. Liga,Rapid Wien B,30.0,3.53,100%,87%,67%,57%,33%,10%,60%,17%,23%,17%,23%
Austria - 2. Liga,Kapfenberger,30.0,3.4,100%,97%,63%,30%,17%,10%,60%,20%,20%,20%,20%
Austria - 2. Liga,SV Horn,30.0,3.37,93%,77%,60%,50%,30%,17%,60%,13%,33%,7%,27%
Austria - 2. Liga,First Vienna,30.0,3.1,97%,77%,60%,40%,17%,10%,60%,23%,20%,20%,17%
Austria - 2. Liga,Sturm Graz B,30.0,3.03,90%,80%,63%,40%,20%,10%,67%,27%,17%,17%,7%
Austria - 2. Liga,St. Polten,30.0,3.0,87%,77%,57%,40%,23%,17%,53%,33%,27%,20%,13%
Austria - 2. Liga,Amstetten,30.0,2.97,93%,73%,63%,40%,20%,7%,60%,20%,27%,13%,20%
Austria - 2. Liga,Liefering,30.0,2.87,97%,70%,53%,37%,13%,7%,50%,27%,27%,23%,23%
Austria - 2. Liga,Ried,30.0,2.73,97%,77%,53%,27%,17%,3%,43%,53%,7%,50%,3%
Austria - 2. Liga,Stripfing,30.0,2.73,93%,87%,57%,27%,10%,0%,67%,17%,23%,10%,17%
Austria - 2. Liga,Admira Wacker,30.0,2.63,93%,67%,50%,33%,13%,3%,50%,40%,17%,33%,10%
Austria - 2. Liga,Voitsberg,30.0,2.37,93%,77%,57%,10%,0%,0%,43%,20%,43%,13%,37%
Austria - 2. Liga,Floridsdorfer,30.0,2.17,87%,73%,37%,17%,3%,0%,47%,33%,33%,20%,20%
Austria - 2. Liga,A. Lustenau,30.0,1.67,80%,53%,27%,7%,0%,0%,37%,40%,43%,20%,23%
Austria - 2. Liga,,,,,,,,,,,,,,
