League_Name,Team_Away,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Argentina - Primera B,V. San Carlos,8.0,2.38,100%,62%,38%,25%,12%,0%,50%,25%,25%,25%,25%
Argentina - Primera B,Excursionistas,8.0,2.25,88%,62%,50%,12%,12%,0%,50%,38%,25%,25%,12%
Argentina - Primera B,Villa Dalmine,8.0,2.13,75%,75%,25%,25%,12%,0%,50%,38%,38%,12%,12%
Argentina - Primera B,A. Quilmes,8.0,2.0,75%,62%,38%,25%,0%,0%,38%,25%,62%,0%,38%
Argentina - Primera B,Argentino Merlo,8.0,2.0,62%,62%,50%,25%,0%,0%,50%,50%,38%,12%,0%
Argentina - Primera B,Sacachispas,9.0,1.89,78%,67%,33%,11%,0%,0%,22%,33%,67%,11%,44%
Argentina - Primera B,Comunicaciones,8.0,1.88,88%,75%,25%,0%,0%,0%,25%,38%,50%,25%,38%
Argentina - Primera B,D. Laferrere,8.0,1.88,88%,75%,12%,12%,0%,0%,38%,25%,50%,12%,38%
Argentina - Primera B,Brown de A.,8.0,1.75,88%,50%,38%,0%,0%,0%,38%,50%,25%,38%,12%
Argentina - Primera B,Flandria,8.0,1.75,75%,62%,38%,0%,0%,0%,25%,38%,62%,12%,38%
Argentina - Primera B,Real Pilar,8.0,1.75,75%,50%,38%,12%,0%,0%,38%,38%,50%,12%,25%
Argentina - Primera B,Deportivo Merlo,9.0,1.67,89%,67%,11%,0%,0%,0%,33%,44%,33%,33%,22%
Argentina - Primera B,D. Armenio,7.0,1.57,100%,57%,0%,0%,0%,0%,43%,29%,29%,29%,29%
Argentina - Primera B,UAI Urquiza,7.0,1.57,71%,43%,29%,14%,0%,0%,29%,43%,57%,14%,29%
Argentina - Primera B,S. Italiano,8.0,1.5,62%,62%,25%,0%,0%,0%,50%,38%,50%,0%,12%
Argentina - Primera B,Midland,8.0,1.25,75%,38%,12%,0%,0%,0%,38%,50%,38%,25%,12%
Argentina - Primera B,,,,,,,,,,,,,,
Argentina - Primera B,League average,,,84.4%,65.9%,32.9%,12.6%,4.8%,1.2%,43.7%,32.3%,39.5%,16.8%,24.0%
Armenia - Premier League,West Armenia,15.0,3.87,100%,93%,73%,33%,33%,27%,20%,13%,67%,13%,67%
Armenia - Premier League,BKMA,15.0,3.67,93%,87%,67%,53%,33%,20%,60%,7%,40%,0%,33%
Armenia - Premier League,Noah,15.0,3.6,100%,87%,80%,47%,27%,20%,60%,33%,7%,33%,7%
Armenia - Premier League,Ararat Yerevan,15.0,3.4,100%,87%,73%,40%,20%,13%,40%,20%,40%,20%,40%
Armenia - Premier League,Ararat-Armenia,15.0,3.2,93%,93%,80%,33%,13%,7%,47%,47%,13%,40%,7%
Armenia - Premier League,Shirak,15.0,3.2,93%,80%,67%,40%,20%,13%,53%,13%,40%,7%,33%
Armenia - Premier League,Urartu,15.0,3.07,100%,87%,67%,33%,13%,7%,60%,40%,0%,40%,0%
Armenia - Premier League,Pyunik,15.0,3.0,93%,80%,60%,47%,20%,0%,53%,33%,20%,27%,13%
Armenia - Premier League,Gandzasar,15.0,2.73,93%,73%,47%,20%,13%,13%,33%,13%,60%,7%,53%
Armenia - Premier League,Van,15.0,2.47,100%,80%,40%,20%,7%,0%,47%,40%,13%,40%,13%
Armenia - Premier League,Alashkert,15.0,2.33,93%,73%,33%,27%,7%,0%,27%,20%,60%,13%,53%
Armenia - Premier League,,,,,,,,,,,,,,
Armenia - Premier League,League average,,,96.4%,83.6%,62.4%,35.8%,18.8%,10.9%,45.5%,25.5%,32.7%,21.8%,29.1%
Australia - A-League,Western United,13.0,4.23,100%,100%,77%,62%,31%,23%,77%,8%,15%,8%,15%
Australia - A-League,Adelaide Utd,13.0,4.15,92%,85%,77%,54%,46%,23%,69%,23%,15%,15%,8%
Australia - A-League,Macarthur FC,13.0,3.69,92%,92%,85%,38%,23%,15%,77%,15%,15%,8%,8%
Australia - A-League,Brisbane Roar,13.0,3.46,100%,85%,54%,46%,23%,15%,69%,0%,31%,0%,31%
Australia - A-League,WS Wanderers,13.0,3.38,100%,85%,62%,54%,23%,15%,69%,31%,0%,31%,0%
Australia - A-League,Newcastle Jets,13.0,3.31,100%,85%,69%,46%,23%,8%,69%,23%,8%,23%,8%
Australia - A-League,Wellington,13.0,3.23,100%,85%,62%,31%,31%,8%,62%,15%,23%,15%,23%
Australia - A-League,Central Coast,13.0,3.08,92%,85%,62%,46%,15%,8%,69%,8%,31%,0%,23%
Australia - A-League,Melbourne V.,13.0,2.92,85%,77%,62%,38%,23%,8%,54%,23%,38%,8%,23%
Australia - A-League,Perth Glory,13.0,2.92,92%,69%,54%,46%,15%,8%,46%,23%,38%,15%,31%
Australia - A-League,Sydney FC,13.0,2.92,85%,69%,54%,38%,31%,15%,54%,23%,38%,8%,23%
Australia - A-League,Auckland,13.0,2.77,100%,77%,38%,38%,15%,8%,46%,46%,8%,46%,8%
Australia - A-League,Melbourne City,13.0,2.69,100%,62%,46%,38%,23%,0%,46%,31%,23%,31%,23%
Australia - A-League,,,,,,,,,,,,,,
Australia - A-League,League average,,,95.3%,81.1%,61.5%,44.4%,24.9%,11.8%,62.1%,20.7%,21.9%,16.0%,17.2%
Austria - Bundesliga,Wolfsberger AC,11.0,3.64,100%,82%,73%,45%,27%,27%,55%,27%,18%,27%,18%
Austria - Bundesliga,Grazer AK,11.0,3.55,82%,82%,73%,36%,36%,36%,73%,18%,27%,0%,9%
Austria - Bundesliga,A. Klagenfurt,11.0,3.09,100%,82%,55%,36%,18%,9%,36%,18%,45%,18%,45%
Austria - Bundesliga,Tirol,11.0,3.0,100%,91%,73%,18%,9%,9%,64%,9%,27%,9%,27%
Austria - Bundesliga,Altach,11.0,2.91,100%,91%,64%,27%,9%,0%,55%,0%,45%,0%,45%
Austria - Bundesliga,Sturm Graz,11.0,2.82,100%,91%,73%,18%,0%,0%,64%,18%,18%,18%,18%
Austria - Bundesliga,BW Linz,11.0,2.73,91%,73%,64%,27%,9%,9%,73%,27%,9%,18%,0%
Austria - Bundesliga,LASK Linz,11.0,2.73,91%,82%,73%,9%,9%,9%,82%,9%,18%,0%,9%
Austria - Bundesliga,Hartberg,11.0,2.64,82%,73%,55%,36%,18%,0%,45%,27%,45%,9%,27%
Austria - Bundesliga,Austria Wien,11.0,2.27,100%,73%,36%,18%,0%,0%,55%,27%,18%,27%,18%
Austria - Bundesliga,Rapid Wien,11.0,2.27,91%,82%,45%,9%,0%,0%,73%,18%,18%,9%,9%
Austria - Bundesliga,Salzburg,11.0,2.09,73%,55%,27%,27%,27%,0%,36%,45%,45%,18%,18%
Austria - Bundesliga,,,,,,,,,,,,,,
Austria - Bundesliga,League average,,,92.4%,79.5%,59.1%,25.8%,13.6%,8.3%,59.1%,20.5%,28.0%,12.9%,20.5%
Austria - 2. Liga,Lafnitz,15.0,3.87,93%,87%,80%,53%,40%,7%,67%,7%,33%,0%,27%
Austria - 2. Liga,Rapid Wien B,15.0,3.73,100%,93%,80%,67%,27%,7%,80%,0%,20%,0%,20%
Austria - 2. Liga,Bregenz,15.0,3.47,93%,93%,73%,40%,27%,7%,80%,13%,13%,7%,7%
Austria - 2. Liga,Sturm Graz B,15.0,3.47,93%,93%,67%,53%,27%,13%,80%,20%,7%,13%,0%
Austria - 2. Liga,First Vienna,15.0,3.33,93%,73%,60%,47%,27%,13%,67%,27%,13%,20%,7%
Austria - 2. Liga,St. Polten,15.0,3.2,93%,80%,53%,40%,27%,27%,53%,33%,20%,27%,13%
Austria - 2. Liga,SV Horn,15.0,3.0,93%,73%,53%,47%,20%,13%,47%,20%,40%,13%,33%
Austria - 2. Liga,Amstetten,15.0,2.93,100%,73%,53%,33%,20%,13%,67%,7%,27%,7%,27%
Austria - 2. Liga,Liefering,15.0,2.8,93%,67%,47%,33%,13%,7%,40%,33%,33%,27%,27%
Austria - 2. Liga,Stripfing,15.0,2.8,87%,80%,60%,40%,13%,0%,73%,13%,27%,0%,13%
Austria - 2. Liga,Kapfenberger,15.0,2.73,100%,93%,60%,20%,0%,0%,53%,20%,27%,20%,27%
Austria - 2. Liga,Voitsberg,15.0,2.67,93%,80%,73%,20%,0%,0%,40%,20%,47%,13%,40%
Austria - 2. Liga,Admira Wacker,15.0,2.6,93%,73%,47%,20%,13%,7%,47%,40%,20%,33%,13%
Austria - 2. Liga,Ried,15.0,2.6,100%,60%,53%,27%,20%,0%,40%,53%,7%,53%,7%
Austria - 2. Liga,Floridsdorfer,15.0,2.4,87%,80%,47%,20%,7%,0%,47%,33%,33%,20%,20%
Austria - 2. Liga,A. Lustenau,15.0,1.6,80%,53%,20%,7%,0%,0%,27%,47%,47%,27%,27%
Austria - 2. Liga,,,,,,,,,,,,,,
Austria - 2. Liga,League average,,,93.3%,78.3%,57.9%,35.4%,17.5%,7.1%,56.7%,24.2%,25.8%,17.5%,19.2%
Belgium - First Division A,Dender,15.0,3.47,93%,87%,73%,47%,40%,7%,60%,13%,33%,7%,27%
Belgium - First Division A,Sint-Truiden,15.0,3.4,100%,93%,67%,27%,27%,13%,73%,7%,20%,7%,20%
Belgium - First Division A,Kortrijk,15.0,3.27,100%,87%,73%,40%,20%,7%,60%,0%,40%,0%,40%
Belgium - First Division A,KRC Genk,15.0,3.27,100%,93%,67%,40%,13%,7%,67%,20%,13%,20%,13%
Belgium - First Division A,Westerlo,15.0,3.13,93%,73%,60%,40%,27%,13%,67%,7%,33%,0%,27%
Belgium - First Division A,Beerschot,15.0,3.0,93%,73%,60%,40%,27%,7%,40%,7%,60%,0%,53%
Belgium - First Division A,Club Brugge,15.0,3.0,100%,87%,73%,33%,7%,0%,73%,20%,7%,20%,7%
Belgium - First Division A,Charleroi,15.0,2.8,93%,67%,47%,33%,20%,13%,53%,13%,40%,7%,33%
Belgium - First Division A,Cercle Brugge,15.0,2.53,100%,87%,47%,13%,7%,0%,53%,7%,40%,7%,40%
Belgium - First Division A,Standard Liege,15.0,2.33,80%,73%,47%,13%,13%,7%,33%,27%,60%,7%,40%
Belgium - First Division A,KV Mechelen,15.0,2.27,93%,53%,33%,20%,13%,7%,47%,27%,33%,20%,27%
Belgium - First Division A,Royale Union SG,15.0,2.27,73%,73%,40%,20%,7%,7%,53%,40%,33%,13%,7%
Belgium - First Division A,Anderlecht,15.0,2.13,87%,73%,33%,13%,7%,0%,33%,47%,33%,33%,20%
Belgium - First Division A,OH Leuven,15.0,2.13,93%,73%,27%,13%,7%,0%,40%,13%,53%,7%,47%
Belgium - First Division A,Gent,15.0,2.07,67%,40%,33%,27%,20%,20%,33%,53%,47%,20%,13%
Belgium - First Division A,Antwerp,15.0,1.93,87%,73%,27%,7%,0%,0%,60%,20%,33%,7%,20%
Belgium - First Division A,,,,,,,,,,,,,,
Belgium - First Division A,League average,,,90.8%,75.4%,50.4%,26.7%,15.8%,6.7%,52.9%,20.0%,36.3%,10.8%,27.1%
Belgium - First Division B,Anderlecht B,14.0,3.29,100%,79%,71%,57%,14%,7%,71%,7%,21%,7%,21%
Belgium - First Division B,KRC Genk B,14.0,3.29,100%,86%,71%,57%,14%,0%,57%,7%,36%,7%,36%
Belgium - First Division B,RFC Liege,14.0,3.29,100%,93%,79%,36%,14%,7%,71%,21%,7%,21%,7%
Belgium - First Division B,Lommel SK,14.0,3.14,100%,71%,64%,50%,21%,7%,50%,21%,29%,21%,29%
Belgium - First Division B,Seraing,14.0,3.14,93%,79%,64%,43%,29%,7%,71%,21%,14%,14%,7%
Belgium - First Division B,Club Brugge B,14.0,3.0,100%,86%,64%,36%,14%,0%,79%,7%,14%,7%,14%
Belgium - First Division B,Eupen,14.0,2.71,86%,79%,64%,29%,14%,0%,43%,29%,43%,14%,29%
Belgium - First Division B,Francs Borains,14.0,2.71,100%,71%,57%,36%,7%,0%,50%,21%,29%,21%,29%
Belgium - First Division B,Lierse K.,14.0,2.71,100%,79%,50%,29%,7%,7%,57%,14%,29%,14%,29%
Belgium - First Division B,Zulte-Waregem,14.0,2.64,79%,71%,57%,36%,21%,0%,57%,36%,29%,14%,7%
Belgium - First Division B,La Louviere,14.0,2.57,93%,71%,50%,14%,14%,7%,64%,36%,7%,29%,0%
Belgium - First Division B,RWDM,14.0,2.57,86%,71%,50%,14%,14%,7%,50%,50%,14%,36%,0%
Belgium - First Division B,Beveren,14.0,2.43,86%,71%,43%,29%,7%,7%,29%,50%,36%,36%,21%
Belgium - First Division B,Lokeren-Temse,14.0,2.43,100%,64%,43%,29%,7%,0%,36%,36%,29%,36%,29%
Belgium - First Division B,Patro Eisden,14.0,2.43,86%,64%,43%,43%,7%,0%,50%,43%,21%,29%,7%
Belgium - First Division B,,,,,,,,,,,,,,
Belgium - First Division B,League average,,,93.8%,75.7%,58.1%,35.7%,13.8%,3.8%,55.7%,26.7%,23.8%,20.5%,17.6%
Brazil - Serie A,Juventude,5.0,3.6,100%,80%,60%,60%,40%,20%,20%,0%,80%,0%,80%
Brazil - Serie A,Gremio,4.0,3.0,100%,100%,50%,25%,25%,0%,75%,0%,25%,0%,25%
Brazil - Serie A,Internacional,6.0,2.67,83%,83%,33%,33%,17%,17%,67%,17%,33%,0%,17%
Brazil - Serie A,Fluminense,5.0,2.6,100%,100%,20%,20%,20%,0%,40%,20%,40%,20%,40%
Brazil - Serie A,Vasco da Gama,5.0,2.6,100%,80%,80%,0%,0%,0%,60%,0%,40%,0%,40%
Brazil - Serie A,Cruzeiro,5.0,2.4,100%,80%,40%,20%,0%,0%,20%,40%,40%,40%,40%
Brazil - Serie A,Sport Recife,5.0,2.4,80%,80%,60%,20%,0%,0%,60%,20%,40%,0%,20%
Brazil - Serie A,Vitoria,5.0,2.4,100%,80%,40%,20%,0%,0%,60%,0%,40%,0%,40%
Brazil - Serie A,Mirassol,6.0,2.33,100%,83%,33%,17%,0%,0%,67%,17%,17%,17%,17%
Brazil - Serie A,Bragantino,4.0,2.25,100%,75%,50%,0%,0%,0%,75%,25%,0%,25%,0%
Brazil - Serie A,Corinthians,5.0,2.2,80%,80%,40%,20%,0%,0%,40%,20%,60%,0%,40%
Brazil - Serie A,Palmeiras,5.0,2.2,100%,60%,60%,0%,0%,0%,60%,40%,0%,40%,0%
Brazil - Serie A,Atletico MG,5.0,2.0,80%,60%,40%,20%,0%,0%,40%,40%,40%,20%,20%
Brazil - Serie A,Bahia,5.0,2.0,100%,40%,40%,20%,0%,0%,20%,20%,60%,20%,60%
Brazil - Serie A,Ceara,4.0,2.0,75%,50%,50%,25%,0%,0%,50%,25%,50%,0%,25%
Brazil - Serie A,Flamengo,5.0,2.0,80%,80%,40%,0%,0%,0%,40%,60%,20%,40%,0%
Brazil - Serie A,Sao Paulo,4.0,1.75,75%,50%,25%,25%,0%,0%,50%,25%,50%,0%,25%
Brazil - Serie A,Santos,6.0,1.67,100%,33%,33%,0%,0%,0%,33%,17%,50%,17%,50%
Brazil - Serie A,Fortaleza,5.0,1.6,60%,60%,40%,0%,0%,0%,40%,40%,60%,0%,20%
Brazil - Serie A,Botafogo,5.0,0.6,60%,0%,0%,0%,0%,0%,0%,40%,100%,0%,60%
Brazil - Serie A,,,,,,,,,,,,,,
Brazil - Serie A,League average,,,88.9%,67.7%,41.4%,16.2%,5.1%,2.0%,45.5%,23.2%,42.4%,12.1%,31.3%
Brazil - Serie B,Athletic Club,5.0,3.0,100%,60%,60%,40%,20%,20%,20%,20%,60%,20%,60%
Brazil - Serie B,Athletico PR,4.0,3.0,100%,100%,100%,0%,0%,0%,100%,0%,0%,0%,0%
Brazil - Serie B,Avai,4.0,2.75,100%,100%,50%,25%,0%,0%,75%,25%,0%,25%,0%
Brazil - Serie B,Botafogo SP,5.0,2.6,100%,80%,40%,20%,20%,0%,40%,0%,60%,0%,60%
Brazil - Serie B,Operario PR,5.0,2.6,100%,80%,40%,20%,20%,0%,40%,0%,60%,0%,60%
Brazil - Serie B,Remo,4.0,2.5,100%,100%,25%,25%,0%,0%,100%,0%,0%,0%,0%
Brazil - Serie B,CRB,5.0,2.4,100%,100%,40%,0%,0%,0%,80%,0%,20%,0%,20%
Brazil - Serie B,Criciuma,4.0,2.25,100%,75%,50%,0%,0%,0%,75%,0%,25%,0%,25%
Brazil - Serie B,Amazonas,4.0,2.0,100%,50%,25%,25%,0%,0%,50%,0%,50%,0%,50%
Brazil - Serie B,Cuiaba,4.0,2.0,100%,75%,25%,0%,0%,0%,75%,25%,0%,25%,0%
Brazil - Serie B,Paysandu,5.0,2.0,80%,40%,40%,40%,0%,0%,40%,20%,60%,0%,40%
Brazil - Serie B,Atletico GO,5.0,1.8,80%,80%,20%,0%,0%,0%,60%,20%,40%,0%,20%
Brazil - Serie B,Chapecoense,5.0,1.8,100%,60%,20%,0%,0%,0%,40%,20%,40%,20%,40%
Brazil - Serie B,Coritiba,5.0,1.8,100%,40%,40%,0%,0%,0%,40%,20%,40%,20%,40%
Brazil - Serie B,Vila Nova,5.0,1.8,100%,40%,20%,20%,0%,0%,20%,20%,60%,20%,60%
Brazil - Serie B,America MG,4.0,1.75,100%,50%,25%,0%,0%,0%,0%,0%,100%,0%,100%
Brazil - Serie B,Ferroviaria,5.0,1.4,60%,40%,20%,20%,0%,0%,20%,40%,80%,0%,40%
Brazil - Serie B,Volta Redonda,5.0,1.4,80%,40%,20%,0%,0%,0%,40%,20%,60%,0%,40%
Brazil - Serie B,Goias,4.0,1.25,75%,25%,25%,0%,0%,0%,25%,50%,50%,25%,25%
Brazil - Serie B,Novorizontino,4.0,1.25,75%,50%,0%,0%,0%,0%,25%,50%,50%,25%,25%
Brazil - Serie B,,,,,,,,,,,,,,
Brazil - Serie B,League average,,,92.3%,63.7%,34.1%,12.1%,3.3%,1.1%,47.3%,16.5%,44.0%,8.8%,36.3%
Brazil - Serie C,Maringa,4.0,3.5,100%,100%,50%,50%,50%,0%,100%,0%,0%,0%,0%
Brazil - Serie C,Anapolis,3.0,3.33,100%,100%,33%,33%,33%,33%,67%,0%,33%,0%,33%
Brazil - Serie C,Nautico,3.0,3.33,100%,100%,100%,33%,0%,0%,67%,33%,0%,33%,0%
Brazil - Serie C,Caxias,4.0,3.0,100%,75%,75%,25%,25%,0%,75%,0%,25%,0%,25%
Brazil - Serie C,Itabaiana,3.0,2.67,100%,67%,33%,33%,33%,0%,33%,0%,67%,0%,67%
Brazil - Serie C,Ituano,3.0,2.67,100%,67%,33%,33%,33%,0%,33%,33%,33%,33%,33%
Brazil - Serie C,Confianca,4.0,2.5,75%,75%,50%,25%,25%,0%,25%,25%,75%,0%,50%
Brazil - Serie C,Figueirense,4.0,2.5,75%,75%,50%,25%,25%,0%,75%,25%,25%,0%,0%
Brazil - Serie C,Ponte Preta,4.0,1.75,100%,50%,25%,0%,0%,0%,50%,50%,0%,50%,0%
Brazil - Serie C,Tombense,4.0,1.75,75%,50%,25%,25%,0%,0%,50%,25%,50%,0%,25%
Brazil - Serie C,Botafogo PB,3.0,1.67,67%,67%,33%,0%,0%,0%,67%,33%,33%,0%,0%
Brazil - Serie C,Brusque,3.0,1.67,33%,33%,33%,33%,33%,0%,33%,67%,67%,0%,0%
Brazil - Serie C,Ypiranga,3.0,1.67,67%,33%,33%,33%,0%,0%,33%,33%,67%,0%,33%
Brazil - Serie C,Floresta,4.0,1.5,50%,25%,25%,25%,25%,0%,25%,50%,75%,0%,25%
Brazil - Serie C,Retro,4.0,1.5,100%,25%,25%,0%,0%,0%,25%,0%,75%,0%,75%
Brazil - Serie C,Londrina,3.0,1.33,67%,67%,0%,0%,0%,0%,0%,100%,33%,67%,0%
Brazil - Serie C,ABC,4.0,1.25,75%,50%,0%,0%,0%,0%,50%,50%,25%,25%,0%
Brazil - Serie C,CSA,3.0,1.0,67%,33%,0%,0%,0%,0%,33%,33%,67%,0%,33%
Brazil - Serie C,Guarani,3.0,1.0,67%,33%,0%,0%,0%,0%,0%,33%,100%,0%,67%
Brazil - Serie C,Sao Bernardo,4.0,1.0,100%,0%,0%,0%,0%,0%,0%,50%,50%,50%,50%
Brazil - Serie C,,,,,,,,,,,,,,
Brazil - Serie C,League average,,,81.4%,55.7%,31.4%,18.6%,14.3%,1.4%,42.9%,31.4%,44.3%,12.9%,25.7%
Bulgaria - Parva Liga,Spartak Varna,18.0,2.94,100%,83%,61%,39%,11%,0%,61%,22%,17%,22%,17%
Bulgaria - Parva Liga,Hebar,19.0,2.84,89%,63%,58%,37%,21%,11%,47%,11%,53%,0%,42%
Bulgaria - Parva Liga,Ludogorets,18.0,2.78,100%,83%,50%,33%,6%,6%,50%,39%,11%,39%,11%
Bulgaria - Parva Liga,Septemvri Sofia,18.0,2.78,94%,83%,50%,22%,22%,6%,44%,17%,44%,11%,39%
Bulgaria - Parva Liga,Botev Vratsa,19.0,2.74,100%,68%,53%,32%,11%,11%,37%,11%,53%,11%,53%
Bulgaria - Parva Liga,Slavia Sofia,18.0,2.67,100%,67%,39%,33%,22%,6%,56%,17%,28%,17%,28%
Bulgaria - Parva Liga,Arda,18.0,2.61,94%,83%,39%,28%,11%,6%,61%,22%,22%,17%,17%
Bulgaria - Parva Liga,Lokomotiv Sofia,18.0,2.56,89%,78%,39%,28%,22%,0%,33%,33%,44%,22%,33%
Bulgaria - Parva Liga,Lok. Plovdiv,19.0,2.42,84%,68%,53%,21%,11%,5%,47%,32%,37%,16%,21%
Bulgaria - Parva Liga,Levski Sofia,18.0,2.39,89%,61%,33%,22%,17%,11%,39%,50%,22%,39%,11%
Bulgaria - Parva Liga,Beroe,18.0,2.28,94%,78%,50%,6%,0%,0%,67%,28%,11%,22%,6%
Bulgaria - Parva Liga,Botev Plovdiv,18.0,2.17,100%,50%,33%,17%,11%,6%,33%,39%,28%,39%,28%
Bulgaria - Parva Liga,Cherno More,18.0,2.17,89%,67%,39%,17%,6%,0%,39%,33%,39%,22%,28%
Bulgaria - Parva Liga,CSKA Sofia,18.0,2.11,94%,56%,44%,17%,0%,0%,22%,50%,33%,44%,28%
Bulgaria - Parva Liga,CSKA 1948 Sofia,18.0,2.06,89%,72%,28%,11%,6%,0%,39%,39%,33%,28%,22%
Bulgaria - Parva Liga,L. Krumovgrad,19.0,1.84,79%,47%,37%,16%,5%,0%,16%,32%,74%,11%,53%
Bulgaria - Parva Liga,,,,,,,,,,,,,,
Bulgaria - Parva Liga,League average,,,92.8%,69.2%,44.2%,23.6%,11.3%,4.1%,43.2%,29.5%,34.6%,22.3%,27.4%
Canada - Premier League,A. Ottawa,4.0,3.75,100%,100%,75%,75%,25%,0%,75%,0%,25%,0%,25%
Canada - Premier League,Valour,4.0,3.75,100%,100%,50%,50%,25%,25%,50%,0%,50%,0%,50%
Canada - Premier League,Pacific,4.0,3.5,100%,100%,75%,75%,0%,0%,75%,0%,25%,0%,25%
Canada - Premier League,York Utd,4.0,3.25,100%,100%,75%,25%,25%,0%,75%,25%,0%,25%,0%
Canada - Premier League,HFX Wanderers,4.0,2.5,100%,75%,50%,25%,0%,0%,50%,50%,0%,50%,0%
Canada - Premier League,Cavalry,3.0,2.33,100%,67%,67%,0%,0%,0%,33%,33%,33%,33%,33%
Canada - Premier League,Vancouver FC,3.0,2.33,100%,67%,33%,33%,0%,0%,67%,0%,33%,0%,33%
